DATAFLOW,LAST UPDATE,freq,unit,hhtyp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Albania,2018,56.73,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Albania,2020,58.56,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Albania,2021,70.76,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Albania,2022,89.59,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Albania,2023,83.19,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Albania,2024,93.15,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2002,20.08,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2003,24.53,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2004,31.01,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2005,32.67,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2006,37.60,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2007,43.30,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2008,55.32,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2009,50.66,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2010,53.97,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2011,58.48,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2012,67.89,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2013,68.60,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2014,68.41,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2015,70.08,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2016,72.48,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2017,81.14,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2018,79.03,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2019,83.54,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2020,82.55,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2021,90.39,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2022,87.67,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2023,90.50,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2024,91.49,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Austria,2025,91.59,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Bosnia and Herzegovina,2018,45.15,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Bosnia and Herzegovina,2019,60.28,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Bosnia and Herzegovina,2020,46.08,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Bosnia and Herzegovina,2021,62.66,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Bosnia and Herzegovina,2023,63.91,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Bosnia and Herzegovina,2024,61.45,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Bosnia and Herzegovina,2025,65.79,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Belgium,2005,29.75,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Belgium,2006,33.40,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Belgium,2007,39.55,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Belgium,2008,43.08,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Belgium,2009,44.45,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Belgium,2010,51.50,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Belgium,2011,56.50,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Belgium,2012,58.47,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Belgium,2013,63.45,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Belgium,2014,67.49,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Belgium,2015,64.99,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Belgium,2016,70.10,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Belgium,2017,72.68,,
ESTAT:ISOC_CI_IN_H(1.0),16/12/25 11:00:00,Annual,Percentage of households,Single person,Belgium,2018,75.31,,
